Crm Cd Desc
GRAND THEFT / INSURANCE FRAUD
HOMICIDE (NON-UCR)
"MANSLAUGHTER, NEGLIGENT"
"THEFT, COIN MACHINE - GRAND"
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
TILL TAP - GRAND THEFT ($950.01 & OVER)
ABORTION/ILLEGAL
DISHONEST EMPLOYEE ATTEMPTED THEFT
INCITING A RIOT
"PICKPOCKET, ATTEMPT"
SHOTS FROM MOVING VEHICLE
GRAND THEFT / AUTO REPAIR
BIGAMY
"THEFT, COIN MACHINE - ATTEMPT"
TILL TAP - PETTY
LYNCHING - ATTEMPTED
PETTY THEFT - AUTO REPAIR
BIKE - ATTEMPTED STOLEN
CREDIT DD < $200
DOCUMENT WORTHLESS ($200 & UNDER)
PROPERTY MISSING RVD VEH - GRAND
PROPERTY MISSING RVD VEH - PETTY ($950 & UNDER)
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
BRIBERY
FAILURE TO DISPERSE
PURSE SNATCHING - ATTEMPT
TELEPHONE PROPERTY - DAMAGE
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
DRUNK ROLL
PROPERTY MISSING RVD VEH - PETTY
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
PROPERTY MISSING RVD VEH - GRAND THEFT ($950.01 & OVER)
"THEFT, COIN MACHINE - PETTY"
"DRUGS, TO A MINOR"
BATTERY FIREMAN
CONSPIRACY
DISRUPT SCHOOL
DOCUMENT WORTHLESS > $100
LYNCHING
TILL TAP - PETTY ($950 & UNDER)
CHILD ABANDONMENT
DISHONEST EMPLOYEE - PETTY THEFT
DISHONEST EMPLOYEE - GRAND THEFT
CREDIT CD > $200
"EMBEZZLEMENT, PETTY"
WEAPONS POSSESSION/BOMBING
CONTRIBUTING
SHOPLIFTING - ATTEMPT
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
"CREDIT CARDS, FRAUD USE ($950 & UNDER"
CHILD ANNOYING (17YRS & UNDER)
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400"
FAILURE TO YIELD
PANDERING
