Crm Cd Desc,,Binning Simple,SF Binning,count
"LETTERS, LEWD",,SEXUAL,PORNOGRAPHY/OBSCENE MAT,8103
VIOLATION OF COURT ORDER,,LEGAL,WARRANTS,8110
OTHER MISCELLANEOUS CRIME,,OTHER,OTHER OFFENSES,8346
VANDALISM - FELONY,,PROPERTY,VANDALISM,8860
VANDALISM - MISDEAMEANOR,,PROPERTY,VANDALISM,9072
DOCUMENT FORGERY / STOLEN FELONY,,FRAUD,FORGERY/COUNTERFEITING,9659
THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),,THEFT,LARCENY/THEFT,11762
SHOPLIFTING - PETTY THEFT ($950 & UNDER),,THEFT,LARCENY/THEFT,14982
THEFT PLAIN - PETTY (UNDER $400),,THEFT,LARCENY/THEFT,16009
CRIMINAL THREATS - NO WEAPON DISPLAYED,,THREAT,THREAT,18129
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,THEFT,LARCENY/THEFT,20416
THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),,THEFT,LARCENY/THEFT,26028
VANDALISM - MISDEAMEANOR ($399 OR UNDER),,PROPERTY,VANDALISM,28134
ROBBERY,,THEFT,ROBBERY,30365
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,PROPERTY,VANDALISM,31283
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,VIOLENT,ASSAULT,33697
SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,,DOMESTIC,FAMILY OFFENSES,45454
THEFT PLAIN - PETTY ($950 & UNDER),,THEFT,LARCENY/THEFT,48243
THEFT OF IDENTITY,,THEFT,FORGERY/COUNTERFEITING,52312
BURGLARY,,THEFT,BURGLARY,59089
VEHICLE - STOLEN,,THEFT,VEHICLE THEFT,59973
BURGLARY FROM VEHICLE,,THEFT,BURGLARY,60203
BATTERY - SIMPLE ASSAULT,,VIOLENT,ASSAULT,76891
TRAFFIC DR #,,TRAFFIC,TRAFFIC VIOLATION,210341
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
