Crm Cd Desc,count
THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),26028
VANDALISM - MISDEAMEANOR ($399 OR UNDER),28134
ROBBERY,30365
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",31283
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",33697
SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,45454
THEFT PLAIN - PETTY ($950 & UNDER),48243
THEFT OF IDENTITY,52312
BURGLARY,59089
VEHICLE - STOLEN,59973
BURGLARY FROM VEHICLE,60203
BATTERY - SIMPLE ASSAULT,76891
TRAFFIC DR #,210341
